:Data_list: Gp_xr_1m.txt
:Created: 2011 Aug 03 0511 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W090
# Missing data: -1.00e+05
#
#         1-minute GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2011 08 03  0403   55776  14580     3.23e-07    4.23e-06
2011 08 03  0404   55776  14640     2.92e-07    4.05e-06
2011 08 03  0405   55776  14700     2.65e-07    3.88e-06
2011 08 03  0406   55776  14760     2.41e-07    3.70e-06
2011 08 03  0407   55776  14820     2.20e-07    3.54e-06
2011 08 03  0408   55776  14880     2.05e-07    3.42e-06
2011 08 03  0409   55776  14940     1.93e-07    3.31e-06
2011 08 03  0410   55776  15000     1.82e-07    3.21e-06
2011 08 03  0411   55776  15060     1.67e-07    3.10e-06
2011 08 03  0412   55776  15120     1.56e-07    2.99e-06
2011 08 03  0413   55776  15180     1.44e-07    2.88e-06
2011 08 03  0414   55776  15240     1.31e-07    2.78e-06
2011 08 03  0415   55776  15300     1.22e-07    2.69e-06
2011 08 03  0416   55776  15360     1.19e-07    2.62e-06
2011 08 03  0417   55776  15420     1.12e-07    2.54e-06
2011 08 03  0418   55776  15480     1.11e-07    2.50e-06
2011 08 03  0419   55776  15540     1.27e-07    2.61e-06
2011 08 03  0420   55776  15600     1.15e-07    2.58e-06
2011 08 03  0421   55776  15660     9.67e-08    2.43e-06
2011 08 03  0422   55776  15720     8.55e-08    2.29e-06
2011 08 03  0423   55776  15780     8.34e-08    2.20e-06
2011 08 03  0424   55776  15840     7.82e-08    2.13e-06
2011 08 03  0425   55776  15900     7.33e-08    2.06e-06
2011 08 03  0426   55776  15960     6.99e-08    2.00e-06
2011 08 03  0427   55776  16020     6.71e-08    1.95e-06
2011 08 03  0428   55776  16080     6.31e-08    1.91e-06
2011 08 03  0429   55776  16140     5.87e-08    1.87e-06
2011 08 03  0430   55776  16200     7.62e-08    1.94e-06
2011 08 03  0431   55776  16260     2.75e-06    1.06e-05
2011 08 03  0432   55776  16320     4.24e-06    1.73e-05
2011 08 03  0433   55776  16380     2.76e-06    1.48e-05
2011 08 03  0434   55776  16440     1.73e-06    1.15e-05
2011 08 03  0435   55776  16500     1.09e-06    9.10e-06
2011 08 03  0436   55776  16560     7.39e-07    7.26e-06
2011 08 03  0437   55776  16620     5.34e-07    5.72e-06
2011 08 03  0438   55776  16680     3.97e-07    4.59e-06
2011 08 03  0439   55776  16740     3.18e-07    3.98e-06
2011 08 03  0440   55776  16800     2.71e-07    3.63e-06
2011 08 03  0441   55776  16860     2.41e-07    3.41e-06
2011 08 03  0442   55776  16920     2.13e-07    3.23e-06
2011 08 03  0443   55776  16980     1.96e-07    3.09e-06
2011 08 03  0444   55776  17040     1.75e-07    2.99e-06
2011 08 03  0445   55776  17100     1.58e-07    2.90e-06
2011 08 03  0446   55776  17160     1.42e-07    2.80e-06
2011 08 03  0447   55776  17220     1.37e-07    2.81e-06
2011 08 03  0448   55776  17280     1.36e-07    2.88e-06
2011 08 03  0449   55776  17340     1.54e-07    2.95e-06
2011 08 03  0450   55776  17400     1.72e-07    3.12e-06
2011 08 03  0451   55776  17460     1.29e-07    2.94e-06
2011 08 03  0452   55776  17520     1.03e-07    2.67e-06
2011 08 03  0453   55776  17580     8.75e-08    2.46e-06
2011 08 03  0454   55776  17640     7.79e-08    2.31e-06
2011 08 03  0455   55776  17700     6.80e-08    2.19e-06
2011 08 03  0456   55776  17760     6.11e-08    2.09e-06
2011 08 03  0457   55776  17820     5.33e-08    2.00e-06
2011 08 03  0458   55776  17880     4.89e-08    1.93e-06
2011 08 03  0459   55776  17940     4.73e-08    1.86e-06
2011 08 03  0500   55776  18000     4.23e-08    1.79e-06
2011 08 03  0501   55776  18060     3.92e-08    1.74e-06
2011 08 03  0502   55776  18120     3.49e-08    1.68e-06
2011 08 03  0503   55776  18180     3.15e-08    1.62e-06
2011 08 03  0504   55776  18240     2.75e-08    1.58e-06
2011 08 03  0505   55776  18300     2.55e-08    1.53e-06
2011 08 03  0506   55776  18360     2.29e-08    1.48e-06
2011 08 03  0507   55776  18420     2.31e-08    1.43e-06
2011 08 03  0508   55776  18480     2.31e-08    1.39e-06
2011 08 03  0509   55776  18540     1.80e-08    1.34e-06
2011 08 03  0510   55776  18600     1.67e-08    1.29e-06
